type,name,slug,url_path,city,state,category_or_tags,official_site,gsc_clicks,gsc_impressions,gsc_ctr,gsc_avg_position,visibility_status,primary_serp_query,expected_competitors_above_ecke,likely_why_competitors_rank_higher
event,Primal Arts Festival,primal-arts-festival,/events/primal-arts-festival,Darlington,MD,Outdoor Event,https://www.primalartsfest.com/,10,682,1.47%,6.31,Seen in GSC export,Primal Arts Festival 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,THE Beltane,beltane,/events/beltane,Darlington,MD,Outdoor Event,https://www.turtlehilleventco.com/,2,32,6.25%,3.66,Seen in GSC export,THE Beltane 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,New England Erotic Hypnosis (un)Conference,neehu,/events/neehu,Nashua,NH,Indoor Event,https://www.neehu.org/,13,452,2.88%,7.19,Seen in GSC export,New England Erotic Hypnosis (un)Conference 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Rochester Erotic Arts Festival,rochester-erotic-arts-festival,/events/rochester-erotic-arts-festival,Auburn,NY,Indoor Event,https://www.rochestereroticartfest.org/,0,0,,,No matching GSC page row in export,Rochester Erotic Arts Festival 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Tethered Together 2027,tethered,/events/tethered,Stamford,CT,Indoor Event,https://tetheredtogether.net/,0,0,,,No matching GSC page row in export,Tethered Together 2027,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Dark Odyssey Fusion,dark-odyssey-fusion,/events/dark-odyssey-fusion,Darlington,MD,Outdoor Event,https://darkodyssey.com/fusion/,0,0,,,No matching GSC page row in export,Dark Odyssey Fusion 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Dark Odyssey Surrender 2026,dark-odyssey-surrender-2026,/events/dark-odyssey-surrender-2026,San Jose,CA,Convention,https://darkodyssey.com/surrender/,0,0,,,No matching GSC page row in export,Dark Odyssey Surrender 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Dark Odyssey Camp Thornwood 2026,dark-odyssey-camp-thornwood-2026,/events/dark-odyssey-camp-thornwood-2026,Sierra Foothills,CA,Outdoor Event,https://campthornwood.com/,0,0,,,No matching GSC page row in export,Dark Odyssey Camp Thornwood 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Charmed,charmed,/events/charmed,Philadelphia,PA,Indoor Event,https://charmedhypno.org/,68,4324,1.57%,6.09,Seen in GSC export,Charmed 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Naughty Knowledge,naughty-knowledge,/events/naughty-knowledge,Gettysburg,PA,Indoor Event,https://studio58events.com/studio-58-event-schedule/,28,769,3.64%,6.98,Seen in GSC export,Naughty Knowledge 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,KinkyCon Community Co-op 2025,kinkycon-summer-coop,/events/kinkycon-summer-coop,Nashua,NH,Indoor Event,https://kc.gotomyevent.com/,0,0,,,No matching GSC page row in export,KinkyCon Community Co-op 2025,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Whips and Wine,whips-and-wine,/events/whips-and-wine,Eastern Pennsylvania,PA,Outdoor Event,https://fetlife.com/events/1439241,13,52,25%,8.4,Seen in GSC export,Whips and Wine 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,FetCamp,fetcamp,/events/fetcamp,Northern Massachusetts,MA,Outdoor Event,https://www.fetcamp.com/,66,1579,4.18%,5.94,Seen in GSC export,FetCamp 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Naughty in N'Awlins,naughty-nawlins,/events/naughty-nawlins,New Orleans,LA,Indoor Event,https://www.naughty-events.com/cover-naughty-nawlins,0,0,,,No matching GSC page row in export,Naughty in N'Awlins 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,TESFest,tesfest,/events/tesfest,Piscataway,NJ,Indoor Event,https://www.tesfest.org/,0,0,,,No matching GSC page row in export,TESFest 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Beyond Leather - International Power Exchange® Contest,beyond-leather-international-power-exchange-contest,/events/beyond-leather-international-power-exchange-contest,West Palm Beach,FL,Conference,https://beyondleather.net/wp/?agreecheck=on,0,18,0%,7.5,Seen in GSC export,Beyond Leather - International Power Exchange® Contest 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Southeast Leather Fest (SELF) 2026,southeast-leather-fest,/events/southeast-leather-fest,Atlanta,GA,Leather Event,https://seleatherfest.com/,1,54,1.85%,7.91,Seen in GSC export,Southeast Leather Fest (SELF) 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,DC Fetish Ball,dc-fetish-ball,/events/dc-fetish-ball,Washington,DC,Indoor Event,https://www.dcfetishball.com/,0,0,,,No matching GSC page row in export,DC Fetish Ball 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Kinky Con 2026,kinky-con-new-hampshire,/events/kinky-con-new-hampshire,Manchester,NH,Indoor Event,https://kc.gotomyevent.com/,0,0,,,No matching GSC page row in export,Kinky Con 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,International Mr. Leather (IML) 2026,international-mr-leather,/events/international-mr-leather,Chicago,IL,Contest Weekend,https://www.internationalmrleather.com/,0,0,,,No matching GSC page row in export,International Mr. Leather (IML) 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Florida Fetish Weekend 2026,florida-fetish-weekend-2026,/events/florida-fetish-weekend-2026,Fort Lauderdale,FL,Convention,https://fetishfactory.com/florida-fetish-weekend/31year/,0,0,,,No matching GSC page row in export,Florida Fetish Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Florida Power Exchange Conference,florida-power-exchange,/events/florida-power-exchange,Tampa Bay area,FL,Conference,https://floridapowerexchange.com/,0,0,,,No matching GSC page row in export,Florida Power Exchange Conference 2027,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Southeastern Power Exchange Regional Contest 2026 (TBA),southeastern-power-exchange-regional-contest,/events/southeastern-power-exchange-regional-contest,Southeastern U.S.,TBA,Contest Weekend,https://southeastpowerexchange.com/2026-regional-contest,0,0,,,No matching GSC page row in export,Southeastern Power Exchange Regional Contest 2026 (TBA),"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,World Bear Weekend 2026,world-bear-weekend-2026,/events/world-bear-weekend-2026,Lexington,KY,Convention,https://worldbearweekend.com/,0,0,,,No matching GSC page row in export,World Bear Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Annual Kink Expo — Elgin Munchers (Chicago area) 2026,annual-kink-expo-2026,/events/annual-kink-expo-2026,Chicago suburbs,IL,Convention,https://elginmunchers.org/,0,0,,,No matching GSC page row in export,Annual Kink Expo — Elgin Munchers (Chicago area) 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Beguiled 2026 — Odyssey of Trance,beguiled-2026,/events/beguiled-2026,Chicago,IL,Conference,https://beguiledcon.com/,0,0,,,No matching GSC page row in export,Beguiled 2026 — Odyssey of Trance,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Chicago Fetish Weekend 2026,chicago-fetish-weekend-2026,/events/chicago-fetish-weekend-2026,Chicago,IL,Contest Weekend,https://www.chicagofetishweekend.com/,0,0,,,No matching GSC page row in export,Chicago Fetish Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Boundless Detroit S&M Symposium 2026,boundless-detroit-sm-symposium-2026,/events/boundless-detroit-sm-symposium-2026,Detroit,MI,Conference,https://www.obligerope.org/bdsm-symposium-2026,0,0,,,No matching GSC page row in export,Boundless Detroit S&M Symposium 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Cold As Hell 6,cold-as-hell-6-2026,/events/cold-as-hell-6-2026,Detroit,MI,Weekend Event,https://lgbtdetroit.org/coldashell,0,0,,,No matching GSC page row in export,Cold As Hell 6 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,GWNN BASH 2026,gwnn-bash-2026,/events/gwnn-bash-2026,Austin,TX,Convention,https://gwnnbash.com/,0,0,,,No matching GSC page row in export,GWNN BASH 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Austin Kink Weekend 2026,austin-kink-weekend-2026,/events/austin-kink-weekend-2026,Austin,TX,Convention,https://austinkinkweekend.com/,0,0,,,No matching GSC page row in export,Austin Kink Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Oklahoma LeatherFest 2026,oklahoma-leatherfest-2026,/events/oklahoma-leatherfest-2026,Oklahoma City,OK,Convention,https://sites.google.com/site/okleatherfest/2026-oklahoma-leatherfest,0,0,,,No matching GSC page row in export,Oklahoma LeatherFest 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,OKC Kink Weekend 2026,okc-kink-weekend-2026,/events/okc-kink-weekend-2026,Oklahoma City,OK,Convention,https://www.okckinkweekend.com/,0,0,,,No matching GSC page row in export,OKC Kink Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Iowa Leather Weekend 2026,iowa-leather-weekend-2026,/events/iowa-leather-weekend-2026,Des Moines,IA,Contest Weekend,https://www.midamericaconferenceofclubs.org/event/iowa-leather-weekend-2026/,0,0,,,No matching GSC page row in export,Iowa Leather Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,KinkFest 2026,kinkfest-2026-portland,/events/kinkfest-2026-portland,Portland,OR,Convention,https://www.kinkfest.org/,0,0,,,No matching GSC page row in export,KinkFest 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Leather Reign 2026,leather-reign-2026-seattle,/events/leather-reign-2026-seattle,Seattle metro,WA,Convention,https://leatherreign.org/,0,0,,,No matching GSC page row in export,Leather Reign 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Northwest Leather Celebration 2026,northwest-leather-celebration-2026-sacramento,/events/northwest-leather-celebration-2026-sacramento,Sacramento,CA,Convention,https://www.northwestleathercelebration.com/,0,0,,,No matching GSC page row in export,Northwest Leather Celebration 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Leather Leadership Conference 2026,leather-leadership-conference-2026-los-angeles,/events/leather-leadership-conference-2026-los-angeles,Los Angeles,CA,Conference,https://www.leatherleadership.net/,0,0,,,No matching GSC page row in export,Leather Leadership Conference 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,San Diego Bootblack & Leather Weekend 2026,san-diego-bootblack-leather-weekend-2026,/events/san-diego-bootblack-leather-weekend-2026,San Diego,CA,Convention,https://sdbbleather.com/,0,0,,,No matching GSC page row in export,San Diego Bootblack & Leather Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,South Plains Leatherfest 2026,south-plains-leatherfest-2026-dallas,/events/south-plains-leatherfest-2026-dallas,Dallas,TX,Convention,https://www.southplainsleatherfest.com/Registration.html,0,0,,,No matching GSC page row in export,South Plains Leatherfest 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Beyond Vanilla 35,beyond-vanilla-35-2026-dallas,/events/beyond-vanilla-35-2026-dallas,Dallas,TX,Convention,https://beyondvanilla.org/,0,0,,,No matching GSC page row in export,Beyond Vanilla 35 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,RGV Leather Weekend 2026,rgv-leather-weekend-2026-mcallen,/events/rgv-leather-weekend-2026-mcallen,McAllen,TX,Weekend Event,https://www.rgvbears.org/rgvlw,0,0,,,No matching GSC page row in export,RGV Leather Weekend 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,Pacific Northwest Leathermen's Campout 2026,pacific-northwest-leathermens-campout-2026,/events/pacific-northwest-leathermens-campout-2026,Portland area,OR,Outdoor Event,https://www.pnwlc.org/,0,0,,,No matching GSC page row in export,Pacific Northwest Leathermen's Campout 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,goBOUNDLESS — Formality Forward High Protocol Dinner (Holyoke),goboundless-formality-forward-dinner-holyoke-2026,/events/goboundless-formality-forward-dinner-holyoke-2026,Holyoke,MA,Indoor Event,https://goboundless.us/events,0,0,,,No matching GSC page row in export,goBOUNDLESS — Formality Forward High Protocol Dinner (Holyoke) 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
event,goBOUNDLESS Full Access Member Camp 2026,goboundless-full-access-camp-2026,/events/goboundless-full-access-camp-2026,Central Massachusetts,MA,Outdoor Event,https://goboundless.us/events,0,0,,,No matching GSC page row in export,goBOUNDLESS Full Access Member Camp 2026,"Official website, social profiles, event/venue platforms, local/business directories","Official event sites usually have exact-match brand title, event dates, ticket/info pages, backlinks, and entity authority."
